""	"BA1B-150-ac-A"	"BA1B-150-bic-A"	"BA1B-150-ENV"	"BA1B-150-form-A"	"BA1B-20-ac-A"	"BA1B-20-bic-A"	"BA1B-20-ENV"	"BA1B-20-form-A"	"BA1B-250-ac-A"	"BA1B-250-bic-A"	"BA1B-250-ENV"	"BA1B-250-form-A"	"BA1B-250A-D2O-Acet"	"BA1B-250A-D2O-Bic"	"BA1B-250A-D2O-Form"	"BA1B-250A-D2O"	"BA1B-250A-H2O"	"BA1B-250B-D2O-Acet"	"BA1B-250B-D2O-Bic"	"BA1B-250B-D2O-Form"	"BA1B-250B-D2O"	"BA1B-250B-H2O"	"BA1D-120A-D2O-Bic"	"BA1D-120A-D2O-Form"	"BA1D-120A-D2O"	"BA1D-120A-H2O"	"BA1D-120B-D2O-Bic"	"BA1D-120B-D2O-Form"	"BA1D-120B-D2O"	"BA1D-120B-H2O"	"BA3A-150-ENV"	"BA3A-20-ENV"	"BA3A-270-ENV"	"BA4A-150-ac-A"	"BA4A-150-bic-A"	"BA4A-150-ENV"	"BA4A-150-form-A"	"BA4A-20-ac-A"	"BA4A-20-bic-A"	"BA4A-20-ENV"	"BA4A-20-form-A"	"BA4A-270-ac-A"	"BA4A-270-bic-A"	"BA4A-270-ENV"	"BA4A-270-form-A"	"BA4A-270A-D2O-Acet"	"BA4A-270A-D2O-Bic"	"BA4A-270A-D2O-Form"	"BA4A-270A-D2O"	"BA4A-270A-H2O"	"BA4A-270B-D2O-Acet"	"BA4A-270B-D2O-Bic"	"BA4A-270B-D2O-Form"	"BA4A-270B-D2O"	"BA4A-270B-H2O"	"KIT-BLANK_BOX2-2"	"KIT-BLANK-BOX1"	"KIT-BLANK-BOX2-1"	"KIT-BLANK-BOX2-3"	"KIT-BLANK-BOX3-1"	"NTC1"	"NTC2"	"OM23-Filter-Blank"	"SK-Filter-Ctrl-Blank1"	"SK-Filter-Ctrl-Blank2"	"TAC-Inc-Filter-Blank-A"
"ASV_42"	0	0	0	17	0	0	0	0	0	973	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	6	1	4	0	6	0	20	381	4	106	118	0	11	0	81	121	3	112	0	0	62	0	62	95	0	0	0	0	0	0	0	34	0	0	33
"ASV_43"	20	24	9	37	33	41	9	42	41	74	22	46	41	51	42	35	50	45	44	40	36	35	59	41	37	42	51	39	46	61	16	14	29	31	32	19	40	52	69	11	40	49	39	15	48	59	43	34	45	45	26	49	41	39	40	0	1	2	0	1	0	0	0	0	0	52
"ASV_44"	84	642	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	10	1	1	0	22	0	0	0	0	0	0	0	0	603	0	4	241	0	1	5	0	1	0	2	295	0	3	5	0	0	0	0	175	0	1	0	0	0	0	0	0	0	0	0	0	1
"ASV_45"	89	574	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	14	1	0	0	0	0	0	0	0	576	0	5	233	0	0	7	0	1	0	2	322	0	1	8	0	0	0	1	182	0	0	0	0	0	0	0	0	0	0	0	0	18
"ASV_46"	1	1	139	16	0	0	168	0	9	1	89	0	0	0	0	2	0	0	1	1	1	0	1165	96	42	42	2	55	39	54	0	0	1	6	0	1	15	0	2	0	1	0	2	1	0	0	1	0	34	0	0	0	1	28	6	0	0	0	0	0	0	0	0	0	0	0
"ASV_47"	2	0	1150	5	0	0	7	0	1	0	737	0	1	2	8	11	13	13	3	4	18	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	3	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_48"	1	2	182	1	13	2	143	15	1	4	136	1	0	6	2	0	3	1	1	0	1	0	65	19	17	5	4	40	28	94	24	8	28	16	3	39	5	2	7	43	0	7	2	22	3	19	63	12	379	31	7	34	7	7	299	0	31	1	0	0	0	0	0	0	0	1
"ASV_49"	0	1	318	0	0	0	1453	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0
"ASV_50"	62	503	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	19	1	0	0	1	0	0	0	0	489	0	4	222	0	0	9	0	1	0	5	274	0	1	8	0	0	0	2	177	0	0	0	0	0	0	0	0	0	0	0	0	3
"ASV_51"	90	45	5	84	11	11	7	15	103	124	11	9	61	41	13	13	10	46	27	8	5	11	11	3	29	4	4	8	5	15	0	0	0	207	42	1	39	40	15	0	18	2	14	0	7	11	20	6	21	152	3	11	98	12	20	0	0	0	0	0	0	0	0	0	0	2
"ASV_52"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	149	0	1275	0	2	0	0	0	0	0	66
"ASV_53"	8	3	11	9	6	6	11	5	1	7	18	1	5	7	4	5	2	4	5	5	2	4	5	1	3	1	7	6	16	8	8	6	5	4	3	19	9	4	7	8	4	3	4	7	0	11	2	0	3	11	1	4	2	3	6	484	1	676	0	0	2	0	2	1	0	4
"ASV_54"	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	781	0	87	86	81	0	0	15	0	0	0	0	0	0	0	5	0	0	0	0	187	186	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0
"ASV_55"	17	3	1	170	116	76	8	120	319	120	0	121	41	2	19	5	35	4	16	28	3	10	0	18	0	1	0	15	25	17	0	0	0	7	8	4	4	0	1	0	1	1	0	0	0	2	0	0	46	1	1	1	0	5	19	0	0	0	0	0	0	0	0	0	0	0
"ASV_56"	1	0	2	0	0	0	0	0	0	0	7	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	298	895	199	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_57"	1	2	360	1	0	0	11	0	0	0	38	0	1	1	3	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	85	102	44	6	1	257	0	0	2	220	1	13	3	197	9	1	0	0	4	0	1	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0
"ASV_58"	0	0	0	1	9	0	2	2	2	32	3	0	2	0	1	2	1	1	1	0	2	1	3	1	2	2	0	0	1	0	1	1	2	0	2	5	2	0	1	0	2	3	0	3	0	1	2	1	0	2	0	2	1	0	2	319	21	1	0	3	190	124	376	168	1	55
