"","depth_m","cond_uscm","temp_C","direction"
"396",43.84,495.8,34.3,"Descending"
"397",43.92,495.8,34.3,"Descending"
"398",44.11,495.6,34.3,"Descending"
"399",44.45,495.7,34.3,"Descending"
"400",44.59,495.7,34.3,"Descending"
"401",44.67,495.4,34.3,"Descending"
"402",44.92,495.8,34.31,"Descending"
"403",45.16,496,34.31,"Descending"
"404",45.31,495.8,34.31,"Descending"
"405",45.47,496,34.31,"Descending"
"406",45.71,496,34.31,"Descending"
"407",45.92,496,34.31,"Descending"
"408",46.17,495.8,34.32,"Descending"
"409",46.4,496,34.32,"Descending"
"410",46.51,495.8,34.32,"Descending"
"411",46.78,495.9,34.32,"Descending"
"412",47.06,495.9,34.32,"Descending"
"413",47.11,495.6,34.32,"Descending"
"414",47.24,495.3,34.32,"Descending"
"415",47.48,495.3,34.32,"Descending"
"416",47.52,495.5,34.33,"Descending"
"417",47.51,495,34.32,"Descending"
"418",47.59,494.9,34.33,"Descending"
"419",47.84,495,34.33,"Descending"
"420",47.8,495.6,34.33,"Descending"
"421",47.67,494.7,34.32,"Descending"
"422",47.96,495.2,34.33,"Descending"
"423",48.1,494.6,34.33,"Descending"
"424",48.18,494.8,34.33,"Descending"
"425",48.1,494.8,34.33,"Descending"
"426",48.3,494.8,34.33,"Descending"
"427",48.19,494.9,34.33,"Descending"
"428",48.35,494.8,34.33,"Descending"
"429",48.5,495,34.33,"Descending"
"430",48.65,495.1,34.33,"Descending"
"431",48.81,494.8,34.33,"Descending"
"432",48.99,495.2,34.33,"Descending"
"433",49.12,495.2,34.33,"Descending"
"434",49.24,495.3,34.33,"Descending"
"435",49.39,495.3,34.33,"Descending"
"436",49.55,495.5,34.34,"Descending"
"437",49.72,495.5,34.34,"Descending"
"438",49.88,495.6,34.34,"Descending"
"439",50.06,495.6,34.34,"Descending"
"440",50.24,492.9,34.34,"Descending"
"441",50.45,494.1,34.34,"Descending"
"442",50.69,495.6,34.34,"Descending"
"443",50.93,495.2,34.35,"Descending"
"444",51.21,495.1,34.35,"Descending"
"445",51.58,495.1,34.35,"Descending"
"446",51.65,495.2,34.35,"Descending"
"447",51.65,495.2,34.35,"Descending"
"448",51.91,495,34.35,"Descending"
"449",52.01,495,34.35,"Descending"
"450",52.47,495.1,34.36,"Descending"
"451",52.96,494.3,34.36,"Descending"
"452",53.4,494.8,34.37,"Descending"
"453",53.83,494.9,34.37,"Descending"
"454",54.26,494.4,34.37,"Descending"
"455",54.76,494.3,34.37,"Descending"
"456",55.03,494.1,34.38,"Descending"
"457",55.48,493.9,34.39,"Descending"
"458",55.88,492.9,34.38,"Descending"
"459",56.36,492.8,34.39,"Descending"
"460",56.63,493,34.4,"Descending"
"461",56.69,493.1,34.4,"Descending"
"462",56.97,493,34.4,"Descending"
"463",57.34,492.9,34.41,"Descending"
"464",57.79,492.2,34.42,"Descending"
"465",57.98,491.6,34.43,"Descending"
"466",58.33,492.3,34.43,"Descending"
"467",58.74,491.9,34.44,"Descending"
"468",59.2,490.9,34.45,"Descending"
"469",59.73,490.7,34.46,"Descending"
"470",60.26,490.1,34.47,"Descending"
"471",60.82,489.7,34.48,"Descending"
"472",61.47,484.9,34.49,"Descending"
"473",61.61,488.5,34.5,"Descending"
"474",61.73,489.3,34.51,"Descending"
"475",61.97,489.4,34.52,"Descending"
"476",62.15,488.8,34.53,"Descending"
"477",62.42,489,34.53,"Descending"
"478",62.62,488.8,34.54,"Descending"
"479",62.97,488.8,34.55,"Descending"
"480",63.32,488.3,34.56,"Descending"
"481",63.7,488.3,34.57,"Descending"
"482",64.09,487.3,34.58,"Descending"
"483",64.41,486.4,34.59,"Descending"
"484",64.72,486.4,34.6,"Descending"
"485",65.05,487,34.61,"Descending"
"486",65.41,485.8,34.62,"Descending"
"487",65.81,486,34.63,"Descending"
"488",66.17,485.6,34.64,"Descending"
"489",66.54,484.4,34.65,"Descending"
"490",66.79,484,34.66,"Descending"
"491",67.15,485.2,34.67,"Descending"
"492",67.53,484.1,34.68,"Descending"
"493",67.96,485.3,34.69,"Descending"
"494",68.43,483.6,34.7,"Descending"
"495",68.88,482.6,34.72,"Descending"
"496",69.28,482.1,34.73,"Descending"
"497",69.63,483.6,34.74,"Descending"
"498",70.15,481.7,34.75,"Descending"
"499",70.65,481.1,34.77,"Descending"
"500",70.99,481.4,34.78,"Descending"
"501",71.2,481.2,34.79,"Descending"
"502",71.34,481.9,34.8,"Descending"
"503",71.54,481.1,34.81,"Descending"
"504",71.71,481.7,34.82,"Descending"
"505",71.95,481.1,34.83,"Descending"
"506",72.03,480.8,34.84,"Descending"
"507",72.25,480.5,34.84,"Descending"
"508",72.49,480.7,34.85,"Descending"
"509",72.79,480.6,34.86,"Descending"
"510",72.97,480.3,34.87,"Descending"
"511",73.13,479.6,34.88,"Descending"
"512",73.22,479.9,34.89,"Descending"
"513",73.34,479.7,34.9,"Descending"
"514",73.51,479.1,34.9,"Descending"
"515",73.56,479.3,34.91,"Descending"
"516",73.61,479.9,34.91,"Descending"
"517",73.68,480,34.92,"Descending"
"518",73.76,479.9,34.92,"Descending"
"519",73.84,479.7,34.92,"Descending"
"520",73.88,479.6,34.93,"Descending"
"521",73.98,479.5,34.94,"Descending"
"522",74.08,479.1,34.94,"Descending"
"523",74.16,478.4,34.95,"Descending"
"524",74.26,478.9,34.95,"Descending"
"525",74.35,478.3,34.95,"Descending"
"526",74.43,477.7,34.96,"Descending"
"527",74.53,477.8,34.96,"Descending"
"528",74.6,478,34.97,"Descending"
"529",74.68,477.5,34.97,"Descending"
"530",74.77,478,34.97,"Descending"
"531",74.85,477.9,34.98,"Descending"
"532",74.92,477.7,34.98,"Descending"
"533",74.99,476.9,34.98,"Descending"
"534",75.06,476.8,34.99,"Descending"
"535",75.15,477.3,34.99,"Descending"
"536",75.23,476.6,34.99,"Descending"
"537",75.32,477.1,35,"Descending"
"538",75.4,476.3,35,"Descending"
"539",75.5,476.3,35,"Descending"
"540",75.6,476.2,35.01,"Descending"
"541",75.69,476.4,35.01,"Descending"
"542",75.77,476.9,35.02,"Descending"
"543",75.86,476.6,35.02,"Descending"
"544",75.95,476.3,35.02,"Descending"
"545",76.05,476.5,35.02,"Descending"
"546",76.15,476.1,35.03,"Descending"
"547",76.25,475.7,35.03,"Descending"
"548",76.3,475.6,35.03,"Descending"
"549",76.26,476.4,35.04,"Descending"
"550",76.31,476.2,35.04,"Descending"
"551",76.32,476,35.04,"Descending"
"552",76.32,476.1,35.04,"Descending"
"553",76.37,475.8,35.04,"Descending"
"554",76.39,475.7,35.05,"Descending"
"555",76.39,475.7,35.05,"Descending"
"556",76.38,475.7,35.05,"Descending"
"557",76.39,475.8,35.05,"Descending"
"558",76.38,475.8,35.05,"Descending"
"559",76.17,475.5,35.05,"Descending"
"560",76.04,475.3,35.05,"Descending"
"561",76.01,475.6,35.05,"Descending"
"562",76.12,475.2,35.06,"Descending"
"563",76.09,475.6,35.05,"Descending"
"564",76.06,475.5,35.05,"Descending"
"565",76.03,475.7,35.06,"Descending"
"566",76.05,475.8,35.06,"Descending"
"567",76.03,476,35.06,"Descending"
"568",76.03,476,35.06,"Descending"
"569",76.03,476.1,35.06,"Descending"
"570",75.96,475.8,35.06,"Descending"
"571",75.96,475.8,35.06,"Descending"
"572",75.87,475.7,35.06,"Descending"
"573",75.91,475.8,35.06,"Descending"
"574",75.93,475.9,35.06,"Descending"
"575",75.93,475.7,35.06,"Descending"
"576",75.93,474.9,35.06,"Descending"
"577",75.93,474.9,35.06,"Descending"
"578",75.94,475,35.06,"Descending"
"579",75.95,474.8,35.06,"Descending"
"580",75.94,474.7,35.06,"Descending"
"581",75.95,474.7,35.06,"Descending"
"582",75.95,474.5,35.06,"Descending"
"583",75.95,474.6,35.06,"Descending"
"584",75.95,474.6,35.06,"Descending"
"585",75.97,474.7,35.06,"Descending"
"586",75.97,474.7,35.06,"Descending"
"587",75.97,474.7,35.06,"Descending"
"588",75.98,474.7,35.06,"Descending"
"589",75.97,474.7,35.06,"Descending"
"590",75.97,474.7,35.06,"Descending"
"591",75.98,474.7,35.06,"Descending"
"592",75.98,474.7,35.06,"Descending"
"593",75.98,474.7,35.06,"Descending"
"594",75.98,474.7,35.06,"Descending"
"595",75.97,474.7,35.06,"Descending"
"596",76.01,474.9,35.06,"Descending"
"597",76.04,475.3,35.06,"Descending"
"598",76.06,475.2,35.07,"Descending"
"599",76.07,475.9,35.06,"Descending"
"600",76.07,476,35.06,"Descending"
"601",76.04,475.8,35.07,"Descending"
"602",76.05,475.7,35.06,"Descending"
"603",76.07,475.6,35.06,"Descending"
"604",76.07,475.6,35.07,"Descending"
"605",76.07,475.7,35.07,"Descending"
"606",76.07,475.7,35.07,"Descending"
"607",76.07,475.6,35.07,"Descending"
"608",76.06,475.9,35.06,"Descending"
"609",76.06,475.9,35.07,"Descending"
"610",76.06,475.7,35.07,"Descending"
"611",76.06,475.7,35.07,"Descending"
"612",76.07,475.8,35.06,"Descending"
"613",76.06,475.7,35.07,"Descending"
"614",76.06,475.8,35.06,"Descending"
"615",76.06,475.8,35.07,"Descending"
"616",76.06,475.7,35.07,"Descending"
"617",76.06,475.5,35.07,"Descending"
"618",76.06,475.3,35.07,"Descending"
"619",76.06,475.4,35.07,"Descending"
"620",76.06,475.6,35.07,"Descending"
"621",76.06,475.6,35.07,"Descending"
"622",76.06,475.7,35.07,"Descending"
"623",76.06,475.7,35.07,"Descending"
"624",76.06,475.6,35.07,"Descending"
"625",76.06,475.5,35.07,"Descending"
"626",76.06,475.6,35.07,"Descending"
"627",76.06,475.5,35.07,"Descending"
"628",76.07,475.5,35.07,"Descending"
"629",76.06,475.5,35.07,"Descending"
"630",76.06,475.6,35.07,"Descending"
"631",76.06,475.5,35.07,"Descending"
"632",76.06,475.7,35.07,"Descending"
"633",76.08,475.8,35.07,"Descending"
"634",76.08,475.5,35.07,"Descending"
"635",76.08,475.7,35.07,"Descending"
"636",76.08,475.4,35.07,"Descending"
"637",76.09,475.3,35.07,"Descending"
"638",76.08,475.1,35.07,"Descending"
"639",76.08,475,35.07,"Descending"
"640",76.09,474.9,35.07,"Descending"
"641",76.09,474.8,35.07,"Descending"
"642",76.08,474.7,35.07,"Descending"
"643",76.06,475.5,35.07,"Descending"
"644",76.08,475.5,35.07,"Descending"
"645",76.08,475.6,35.07,"Descending"
"646",76.07,475.7,35.07,"Descending"
"647",76.08,475.8,35.07,"Descending"
"648",76.08,475.8,35.07,"Descending"
"649",76.08,475.8,35.07,"Descending"
"650",76.08,475.8,35.07,"Descending"
"651",76.08,475.9,35.07,"Descending"
"652",76.08,475.9,35.07,"Descending"
"653",76.08,475.5,35.07,"Descending"
"654",76.07,475.6,35.07,"Descending"
"655",76.07,475.6,35.07,"Descending"
"656",76.08,475.8,35.07,"Descending"
"657",76.08,475.7,35.07,"Descending"
"658",76.09,475.7,35.07,"Descending"
"659",76.09,475.7,35.07,"Descending"
"660",76.09,475.6,35.07,"Descending"
"661",76.1,475.6,35.07,"Descending"
"662",76.1,475.7,35.07,"Descending"
"663",76.09,475.6,35.07,"Descending"
"664",76.1,475.6,35.07,"Descending"
"665",76.1,475.3,35.07,"Descending"
"666",76.1,475.2,35.07,"Descending"
"667",76.1,475.1,35.07,"Descending"
"668",76.1,475.1,35.07,"Descending"
"669",76.1,475,35.07,"Descending"
