"","depth_m","cond_uscm","pH","temp_C","direction"
"1961",285.37,6111,11.52,42.55,"Descending"
"1962",285.37,6109,11.53,42.55,"Descending"
"1963",285.37,6112,11.51,42.55,"Descending"
"1964",285.37,6111,11.53,42.55,"Descending"
"1965",285.37,6110,11.51,42.55,"Descending"
"1966",285.37,6111,11.53,42.55,"Descending"
"1967",285.36,6112,11.51,42.55,"Descending"
"1968",285.36,6111,11.51,42.55,"Descending"
"1969",285.37,6113,11.53,42.55,"Descending"
"1970",285.36,6111,11.52,42.55,"Descending"
"1971",285.36,6109,11.52,42.55,"Descending"
"1972",285.36,6111,11.52,42.55,"Descending"
"1973",285.37,6110,11.52,42.55,"Descending"
"1974",285.36,6109,11.53,42.56,"Descending"
"1975",285.37,6109,11.52,42.55,"Descending"
"1976",285.37,6111,11.52,42.55,"Descending"
"1977",285.37,6109,11.53,42.55,"Descending"
"1978",285.37,6111,11.52,42.55,"Descending"
"1979",285.37,6109,11.52,42.55,"Descending"
"1980",285.37,6107,11.52,42.55,"Descending"
"1981",285.36,6109,11.52,42.55,"Descending"
"1982",285.37,6109,11.52,42.55,"Descending"
"1983",285.36,6109,11.52,42.55,"Descending"
"1984",285.36,6111,11.52,42.55,"Descending"
"1985",285.36,6112,11.52,42.55,"Descending"
"1986",285.36,6108,11.51,42.55,"Descending"
"1987",285.37,6111,11.53,42.55,"Descending"
"1988",285.37,6108,11.52,42.55,"Descending"
"1989",285.36,6109,11.52,42.55,"Descending"
"1990",285.37,6109,11.52,42.55,"Descending"
"1991",285.37,6108,11.52,42.55,"Descending"
"1992",285.37,6107,11.52,42.55,"Descending"
"1993",285.37,6109,11.52,42.55,"Descending"
"1994",285.36,6108,11.51,42.55,"Descending"
"1995",285.37,6112,11.52,42.55,"Descending"
"1996",285.36,6112,11.53,42.55,"Descending"
"1997",285.37,6115,11.52,42.55,"Descending"
"1998",285.37,6107,11.52,42.55,"Descending"
"1999",285.37,6106,11.52,42.55,"Descending"
"2000",285.36,6109,11.52,42.55,"Descending"
"2001",285.37,6111,11.52,42.55,"Descending"
"2002",285.37,6110,11.52,42.55,"Descending"
"2003",285.36,6109,11.52,42.55,"Descending"
"2004",285.37,6104,11.52,42.55,"Descending"
"2005",285.37,6112,11.52,42.56,"Descending"
"2006",285.36,6107,11.52,42.55,"Descending"
"2007",285.37,6112,11.53,42.55,"Descending"
"2008",285.37,6114,11.52,42.55,"Descending"
"2009",285.37,6111,11.52,42.55,"Descending"
"2010",285.37,6111,11.52,42.55,"Descending"
"2011",285.36,6112,11.52,42.55,"Descending"
"2012",285.37,6113,11.52,42.55,"Descending"
"2013",285.37,6110,11.52,42.55,"Descending"
