"","depth_m","cond_uscm","pH","temp_C","direction"
"343",52.54,475.8,7.05,34.51,"Descending"
"344",52.54,475.9,7.06,34.5,"Descending"
"345",52.53,475.9,7.06,34.5,"Descending"
"346",52.53,475.9,7.06,34.51,"Descending"
"347",52.54,475.9,7.06,34.51,"Descending"
"348",52.53,475.9,7.06,34.51,"Descending"
"349",52.52,475.9,7.06,34.51,"Descending"
"350",52.51,475.9,7.06,34.51,"Descending"
"351",52.21,476.2,7.06,34.51,"Descending"
"352",52.16,476.3,7.06,34.51,"Descending"
"353",52.33,476.1,7.06,34.51,"Descending"
"354",52.44,476.4,7.06,34.51,"Descending"
"355",52.55,476.2,7.06,34.51,"Descending"
"356",52.67,476,7.05,34.51,"Descending"
"357",52.87,475.9,7.06,34.52,"Descending"
"358",53.15,476,7.06,34.52,"Descending"
"359",53.38,475.6,7.06,34.52,"Descending"
"360",53.58,475.5,7.06,34.53,"Descending"
"361",53.73,475.4,7.06,34.53,"Descending"
"362",54,475.1,7.06,34.53,"Descending"
"363",54.2,474.9,7.06,34.54,"Descending"
"364",54.37,474.8,7.06,34.54,"Descending"
"365",54.6,474.7,7.06,34.55,"Descending"
"366",54.67,474.6,7.05,34.55,"Descending"
"367",54.76,474.6,7.06,34.55,"Descending"
"368",55.01,474.4,7.05,34.56,"Descending"
"369",55.12,474.4,7.05,34.56,"Descending"
"370",55.2,474.4,7.06,34.56,"Descending"
"371",55.35,474.2,7.06,34.57,"Descending"
"372",55.55,474.1,7.06,34.57,"Descending"
"373",55.69,474.4,7.05,34.57,"Descending"
"374",55.86,473.9,7.07,34.57,"Descending"
"375",56,474,7.06,34.58,"Descending"
"376",55.99,474,7.06,34.58,"Descending"
"377",56.01,474.1,7.05,34.58,"Descending"
"378",55.97,474.1,7.06,34.58,"Descending"
"379",56.01,474.1,7.06,34.59,"Descending"
"380",56.02,474.1,7.06,34.58,"Descending"
"381",55.99,474,7.06,34.59,"Descending"
"382",56.01,474.1,7.06,34.59,"Descending"
"383",56.02,474.1,7.06,34.59,"Descending"
"384",55.82,474.2,7.06,34.59,"Descending"
"385",55.81,474.1,7.06,34.59,"Descending"
"386",56.02,474.1,7.06,34.59,"Descending"
"387",56.18,474,7.07,34.59,"Descending"
"388",56.37,473.8,7.06,34.6,"Descending"
"389",56.57,473.7,7.07,34.6,"Descending"
"390",56.76,473.7,7.07,34.6,"Descending"
"391",56.98,473.6,7.06,34.61,"Descending"
"392",57.17,473.6,7.06,34.61,"Descending"
"393",57.27,473.4,7.05,34.61,"Descending"
"394",57.41,473.3,7.06,34.62,"Descending"
"395",57.62,473.2,7.06,34.62,"Descending"
"396",57.85,473.1,7.06,34.62,"Descending"
"397",58.07,473,7.06,34.63,"Descending"
"398",58.29,472.7,7.06,34.63,"Descending"
"399",58.48,472.9,7.05,34.64,"Descending"
"400",58.72,472.7,7.06,34.64,"Descending"
"401",58.9,472.8,7.06,34.65,"Descending"
"402",59.11,472.6,7.05,34.65,"Descending"
"403",59.31,472.6,7.05,34.65,"Descending"
"404",59.55,472.5,7.06,34.66,"Descending"
"405",59.55,472.4,7.06,34.66,"Descending"
"406",59.77,472.4,7.05,34.66,"Descending"
"407",60.01,472.4,7.05,34.67,"Descending"
"408",60.16,472.4,7.04,34.67,"Descending"
"409",60.3,472.3,7.04,34.67,"Descending"
"410",60.53,472.3,7.04,34.68,"Descending"
"411",60.72,472.2,7.06,34.68,"Descending"
"412",60.85,472.2,7.05,34.69,"Descending"
"413",61.04,472.2,7.05,34.69,"Descending"
"414",61.28,472.2,7.05,34.7,"Descending"
"415",61.45,472.3,7.07,34.7,"Descending"
"416",61.55,472,7.06,34.71,"Descending"
"417",61.72,472,7.06,34.71,"Descending"
"418",61.96,471.8,7.06,34.71,"Descending"
"419",62.17,471.8,7.06,34.72,"Descending"
"420",62.37,472,7.05,34.72,"Descending"
"421",62.54,471.9,7.04,34.73,"Descending"
"422",62.72,472.2,7.05,34.73,"Descending"
"423",62.9,472,7.06,34.74,"Descending"
"424",62.92,472.1,7.06,34.74,"Descending"
"425",62.93,472,7.05,34.74,"Descending"
"426",62.9,472,7.06,34.74,"Descending"
"427",62.92,472.1,7.06,34.75,"Descending"
"428",62.94,472.1,7.06,34.75,"Descending"
"429",62.91,472.1,7.06,34.75,"Descending"
"430",62.92,472.1,7.06,34.75,"Descending"
"431",62.94,472,7.06,34.75,"Descending"
"432",62.88,472.2,7.06,34.75,"Descending"
"433",62.58,472,7.06,34.75,"Descending"
"434",62.67,472,7.05,34.75,"Descending"
"435",62.83,472,7.06,34.76,"Descending"
"436",62.96,472.1,7.05,34.76,"Descending"
"437",63.11,472,7.05,34.76,"Descending"
"438",63.35,472,7.05,34.76,"Descending"
"439",63.56,472,7.06,34.77,"Descending"
"440",63.7,472.1,7.06,34.77,"Descending"
"441",63.9,472.1,7.05,34.77,"Descending"
"442",64.14,472.1,7.06,34.78,"Descending"
"443",64.33,472.1,7.06,34.78,"Descending"
"444",64.52,472.2,7.06,34.79,"Descending"
"445",64.73,472.1,7.05,34.79,"Descending"
"446",64.95,472.3,7.05,34.8,"Descending"
"447",65.13,472.2,7.06,34.8,"Descending"
"448",65.38,472.2,7.06,34.8,"Descending"
"449",65.57,472.2,7.05,34.81,"Descending"
"450",65.76,472.3,7.05,34.81,"Descending"
"451",66.02,472.3,7.05,34.82,"Descending"
"452",66.27,472.3,7.05,34.82,"Descending"
"453",66.51,472.3,7.06,34.83,"Descending"
"454",66.71,472.4,7.05,34.83,"Descending"
"455",66.99,472.5,7.05,34.84,"Descending"
"456",67.24,472.5,7.05,34.84,"Descending"
"457",67.45,472.7,7.05,34.85,"Descending"
"458",67.71,472.8,7.05,34.86,"Descending"
"459",67.95,472.9,7.05,34.86,"Descending"
"460",68.13,473,7.05,34.86,"Descending"
"461",68.34,473.1,7.05,34.87,"Descending"
"462",68.57,473.4,7.04,34.87,"Descending"
"463",68.77,473.7,7.05,34.89,"Descending"
"464",68.96,474.2,7.06,34.89,"Descending"
"465",69.15,474.3,7.04,34.89,"Descending"
"466",69.37,474.9,7.04,34.9,"Descending"
"467",69.57,475.3,7.04,34.9,"Descending"
"468",69.74,476,7.04,34.91,"Descending"
"469",69.93,476.8,7.05,34.91,"Descending"
"470",70.15,477.7,7.05,34.92,"Descending"
"471",70.33,478.7,7.04,34.93,"Descending"
"472",70.49,479.2,7.05,34.93,"Descending"
"473",70.78,481,7.05,34.93,"Descending"
"474",70.95,481.9,7.04,34.94,"Descending"
"475",71.09,483,7.04,34.95,"Descending"
"476",71.32,485.1,7.04,34.95,"Descending"
"477",71.5,487.7,7.05,34.96,"Descending"
"478",71.67,488.8,7.03,34.96,"Descending"
"479",71.88,491.9,7.06,34.96,"Descending"
"480",72.09,493.9,7.04,34.97,"Descending"
"481",72.29,496.3,7.04,34.98,"Descending"
"482",72.48,500.3,7.04,34.98,"Descending"
"483",72.73,500.1,7.04,34.99,"Descending"
"484",72.92,505,7.04,34.99,"Descending"
"485",73.12,511.8,7.04,35,"Descending"
"486",73.26,512.7,7.04,35.01,"Descending"
"487",73.28,514.1,7.04,35.01,"Descending"
"488",73.29,514.6,7.04,35.01,"Descending"
"489",73.28,514.7,7.04,35.02,"Descending"
"490",73.28,514.6,7.04,35.02,"Descending"
"491",73.29,514.8,7.03,35.02,"Descending"
"492",73.29,514.9,7.04,35.02,"Descending"
"493",73.25,514.8,7.04,35.03,"Descending"
"494",73.27,514.8,7.05,35.03,"Descending"
"495",73.27,514.8,7.04,35.03,"Descending"
"496",73.28,514.9,7.04,35.03,"Descending"
"497",73.26,514.9,7.04,35.03,"Descending"
"498",73.22,515.5,7.04,35.03,"Descending"
"499",73.22,515.1,7.04,35.03,"Descending"
"500",72.91,514.7,7.05,35.03,"Descending"
"501",73.06,513.8,7.04,35.03,"Descending"
"502",73.2,515.4,7.04,35.04,"Descending"
"503",73.32,517.9,7.04,35.04,"Descending"
"504",73.49,523,7.04,35.04,"Descending"
"505",73.74,528.3,7.05,35.05,"Descending"
"506",73.94,532.3,7.03,35.05,"Descending"
"507",74.18,535.9,7.04,35.05,"Descending"
"508",74.39,542.2,7.03,35.06,"Descending"
"509",74.55,542.7,7.04,35.06,"Descending"
"510",74.75,553.2,7.04,35.06,"Descending"
"511",74.89,557.5,7.04,35.07,"Descending"
"512",75.04,564,7.04,35.07,"Descending"
"513",75.26,567.7,7.05,35.08,"Descending"
"514",75.45,570.9,7.05,35.08,"Descending"
"515",75.65,580.9,7.04,35.09,"Descending"
"516",75.93,590.5,7.04,35.09,"Descending"
"517",76.13,595.7,7.03,35.1,"Descending"
"518",76.37,598.9,7.03,35.1,"Descending"
"519",76.56,606.2,7.04,35.11,"Descending"
"520",76.66,611.6,7.04,35.11,"Descending"
"521",76.93,619.5,7.05,35.12,"Descending"
"522",77.15,623.1,7.04,35.12,"Descending"
"523",77.35,627.5,7.04,35.13,"Descending"
"524",77.61,636.3,7.04,35.13,"Descending"
"525",77.84,637.7,7.03,35.14,"Descending"
"526",78.1,640.3,7.04,35.15,"Descending"
"527",78.39,644.1,7.04,35.15,"Descending"
"528",78.55,647.7,7.03,35.16,"Descending"
"529",78.75,651.1,7.05,35.16,"Descending"
"530",78.98,655.8,7.04,35.17,"Descending"
"531",79.24,657.8,7.03,35.18,"Descending"
"532",79.45,659.7,7.04,35.18,"Descending"
"533",79.51,661.4,7.04,35.19,"Descending"
"534",79.72,664.3,7.04,35.2,"Descending"
"535",79.94,665.6,7.04,35.2,"Descending"
"536",80.2,666.7,7.05,35.21,"Descending"
"537",80.37,667.8,7.04,35.21,"Descending"
"538",80.56,668.7,7.04,35.22,"Descending"
"539",80.83,669.2,7.04,35.23,"Descending"
"540",81.03,670.6,7.03,35.23,"Descending"
"541",81.09,670.8,7.02,35.24,"Descending"
"542",81.2,670.8,7.06,35.24,"Descending"
"543",81.32,671.1,7.04,35.25,"Descending"
"544",81.46,671.3,7.04,35.25,"Descending"
"545",81.58,671.2,7.03,35.25,"Descending"
"546",81.71,671.3,7.03,35.26,"Descending"
"547",81.83,671.3,7.03,35.27,"Descending"
"548",81.96,671.2,7.04,35.27,"Descending"
"549",82.12,671.5,7.03,35.27,"Descending"
"550",82.06,671.2,7.04,35.28,"Descending"
"551",82.26,670.9,7.04,35.28,"Descending"
"552",82.41,670.8,7.03,35.29,"Descending"
"553",82.61,670.7,7.03,35.29,"Descending"
"554",82.81,670.8,7.03,35.3,"Descending"
"555",82.93,670.3,7.04,35.3,"Descending"
"556",83.07,670.1,7.04,35.3,"Descending"
"557",83.23,669.8,7.03,35.31,"Descending"
"558",83.37,669.5,7.03,35.31,"Descending"
"559",83.5,669,7.04,35.31,"Descending"
"560",83.61,668.9,7.03,35.32,"Descending"
"561",83.76,668.5,7.03,35.33,"Descending"
